(3, 256, 256)
Starting vanilla DIP on 0 using ADAM(sigma=0.05,lr=0.01,decay=0,beta=0)
Noisy PSNR is '26.051117579407087'
[128, 128, 128, 128, 128]
Number of params in decoder: 100224
torch.Size([1, 128, 8, 8])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '26.227566669511432', noisy psnr is '23.21452284873152'
At step '400', psnr is '28.182892630868295', noisy psnr is '24.12411578991078'
At step '600', psnr is '28.561718712316996', noisy psnr is '24.298202254447695'
At step '800', psnr is '28.58470181524', noisy psnr is '24.352278088939524'
At step '1000', psnr is '28.531049571841937', noisy psnr is '24.34900150108344'
At step '1200', psnr is '28.714868222112834', noisy psnr is '24.472768314041108'
At step '1400', psnr is '28.407780831156614', noisy psnr is '24.365884271092796'
At step '1600', psnr is '29.048383642410958', noisy psnr is '24.64221756888954'
At step '1800', psnr is '28.75617759716723', noisy psnr is '24.547332299220933'
At step '2000', psnr is '28.74261420167101', noisy psnr is '24.559885315899695'
At step '2200', psnr is '28.863897145675203', noisy psnr is '24.63678538285428'
At step '2400', psnr is '29.11521796311891', noisy psnr is '24.75010809698203'
At step '2600', psnr is '28.93565745837735', noisy psnr is '24.725214267125594'
At step '2800', psnr is '28.79677906450442', noisy psnr is '24.667774585773884'
At step '3000', psnr is '28.97768337439434', noisy psnr is '24.758189396259876'
At step '3200', psnr is '28.539278792261086', noisy psnr is '24.62448588857719'
At step '3400', psnr is '28.539332584420304', noisy psnr is '24.58571680005675'
At step '3600', psnr is '28.679197404869953', noisy psnr is '24.690326035783396'
At step '3800', psnr is '28.748875609594393', noisy psnr is '24.75594469332581'
At step '4000', psnr is '29.057477646821816', noisy psnr is '24.88175447750008'
At step '4200', psnr is '28.687432789049243', noisy psnr is '24.792961764835685'
At step '4400', psnr is '29.239349454837505', noisy psnr is '24.9940619352647'
At step '4600', psnr is '28.73945120678222', noisy psnr is '24.81017369236526'
At step '4800', psnr is '28.853203146078215', noisy psnr is '24.850692202978173'
At step '5000', psnr is '29.197983917375545', noisy psnr is '25.05682421187917'
At step '5200', psnr is '28.96137975052771', noisy psnr is '24.93469477124815'
At step '5400', psnr is '28.44918456272437', noisy psnr is '24.788895938253592'
At step '5600', psnr is '29.156718193208352', noisy psnr is '25.091785494036447'
At step '5800', psnr is '28.86137076363548', noisy psnr is '24.980671330071978'
At step '6000', psnr is '29.052083109748125', noisy psnr is '25.09159948656366'
At step '6200', psnr is '28.723950764908178', noisy psnr is '24.911660007231294'
At step '6400', psnr is '29.019782915557002', noisy psnr is '25.10083521526059'
At step '6600', psnr is '29.24885562901033', noisy psnr is '25.229275285276476'
At step '6800', psnr is '29.216180004682357', noisy psnr is '25.215513704440905'
At step '7000', psnr is '29.343569404879148', noisy psnr is '25.257359610380867'
At step '7200', psnr is '29.131801596591185', noisy psnr is '25.056826943931153'
At step '7400', psnr is '29.063506209564306', noisy psnr is '25.181766443120193'
At step '7600', psnr is '28.982773266426175', noisy psnr is '25.1894761952424'
At step '7800', psnr is '29.470205134622468', noisy psnr is '25.38457883130368'
At step '8000', psnr is '28.60800082859943', noisy psnr is '25.053327645700424'
At step '8200', psnr is '29.044272837570915', noisy psnr is '25.23031971424888'
At step '8400', psnr is '28.906050537693964', noisy psnr is '25.165447247918262'
At step '8600', psnr is '29.067830411406863', noisy psnr is '25.27736763777976'
At step '8800', psnr is '29.078296558843487', noisy psnr is '25.285107322707162'
At step '9000', psnr is '29.605564155804693', noisy psnr is '25.506908820943238'
At step '9200', psnr is '29.648486781741084', noisy psnr is '25.520444424755585'
At step '9400', psnr is '29.452722326012708', noisy psnr is '25.487769489455864'
At step '9600', psnr is '29.79615816500012', noisy psnr is '25.61687544955805'
At step '9800', psnr is '29.282676040834225', noisy psnr is '25.413383607382446'
At step '10000', psnr is '28.965840915812056', noisy psnr is '25.290962657835717'
