noisy psnr: 23.126556270448518
Starting vanilla DIP on 0 using ADAM(sigma=0.07,lr=0.001,decay=0,beta=0)
Noisy PSNR is '23.126556270448518'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '28.837667655569575'
At step '400', psnr is '30.11523623841212'
At step '600', psnr is '30.596633400018604'
At step '800', psnr is '30.819829923662994'
At step '1000', psnr is '29.732718541952128'
At step '1200', psnr is '29.09267368224013'
At step '1400', psnr is '28.243777500993637'
At step '1600', psnr is '27.611571881746034'
At step '1800', psnr is '26.806199402508742'
At step '2000', psnr is '26.4897866015173'
At step '2200', psnr is '25.92651828800534'
At step '2400', psnr is '25.547109737187355'
At step '2600', psnr is '25.450410200333586'
At step '2800', psnr is '25.209988456582163'
At step '3000', psnr is '25.13933580194427'
At step '3200', psnr is '24.895942510983527'
At step '3400', psnr is '24.781336628981162'
At step '3600', psnr is '24.77066847184595'
At step '3800', psnr is '24.69876632375545'
At step '4000', psnr is '24.544668939179665'
At step '4200', psnr is '24.367487630265003'
At step '4400', psnr is '24.273022167333167'
At step '4600', psnr is '24.343974018287525'
At step '4800', psnr is '24.283833938876764'
At step '5000', psnr is '24.296615389567048'
At step '5200', psnr is '24.260113411688305'
At step '5400', psnr is '24.103239793725653'
At step '5600', psnr is '24.142791151920406'
At step '5800', psnr is '24.2202934219818'
At step '6000', psnr is '24.182382701891356'
At step '6200', psnr is '24.20680368785471'
At step '6400', psnr is '24.166710815852777'
At step '6600', psnr is '24.094267420499055'
At step '6800', psnr is '24.105364215159963'
At step '7000', psnr is '23.888726371959507'
At step '7200', psnr is '24.02662478864281'
At step '7400', psnr is '23.94438475554594'
At step '7600', psnr is '23.95077854042491'
At step '7800', psnr is '23.883446598340665'
At step '8000', psnr is '24.01948151718119'
At step '8200', psnr is '23.72900860062268'
At step '8400', psnr is '23.81490381777312'
At step '8600', psnr is '23.862409245989177'
At step '8800', psnr is '23.91475833059379'
At step '9000', psnr is '23.93704709575761'
At step '9200', psnr is '23.84398997580107'
At step '9400', psnr is '23.85947986467756'
At step '9600', psnr is '23.75889734406485'
At step '9800', psnr is '23.883447554667466'
At step '10000', psnr is '23.766309305993175'
At step '10200', psnr is '23.6017256728083'
At step '10400', psnr is '23.838879745125002'
At step '10600', psnr is '23.73070021402046'
At step '10800', psnr is '23.649090083776056'
At step '11000', psnr is '23.519072775382757'
At step '11200', psnr is '23.68941482631087'
At step '11400', psnr is '23.696380050402137'
At step '11600', psnr is '23.65356544774532'
At step '11800', psnr is '23.791679490769706'
At step '12000', psnr is '23.87051950424805'
At step '12200', psnr is '23.782199942402833'
At step '12400', psnr is '23.785772970600835'
At step '12600', psnr is '23.804973543306357'
At step '12800', psnr is '23.696150971248393'
At step '13000', psnr is '23.72418529201837'
At step '13200', psnr is '23.432069009524703'
At step '13400', psnr is '23.719154442745847'
At step '13600', psnr is '23.73975596853367'
At step '13800', psnr is '23.689938399628115'
At step '14000', psnr is '23.743797545516024'
At step '14200', psnr is '23.68779344597374'
At step '14400', psnr is '23.653477643624406'
At step '14600', psnr is '23.76310399157323'
At step '14800', psnr is '23.731331269120666'
At step '15000', psnr is '23.733605287077616'
At step '15200', psnr is '23.67286674799812'
At step '15400', psnr is '23.601973942284292'
At step '15600', psnr is '23.50231126473984'
At step '15800', psnr is '23.50506808317722'
At step '16000', psnr is '23.696504978610363'
At step '16200', psnr is '23.580523336957416'
At step '16400', psnr is '23.722178238108476'
At step '16600', psnr is '23.600553338714583'
At step '16800', psnr is '23.644965335125487'
At step '17000', psnr is '23.60879759110833'
At step '17200', psnr is '23.637419815259907'
At step '17400', psnr is '23.675907650627074'
At step '17600', psnr is '23.507350983890333'
At step '17800', psnr is '23.558177454452874'
At step '18000', psnr is '23.660248405567444'
At step '18200', psnr is '23.672326562559437'
At step '18400', psnr is '23.510337865658396'
At step '18600', psnr is '23.50718648187255'
At step '18800', psnr is '23.63220240739394'
At step '19000', psnr is '23.616271782740824'
At step '19200', psnr is '23.648040741758155'
At step '19400', psnr is '23.521819835854394'
At step '19600', psnr is '23.654160319570813'
At step '19800', psnr is '23.562382883296014'
At step '20000', psnr is '23.560704607567896'
At step '20200', psnr is '23.567364274403214'
At step '20400', psnr is '23.5470155736421'
At step '20600', psnr is '23.651277239924255'
At step '20800', psnr is '23.472827942474098'
At step '21000', psnr is '23.373615715060005'
At step '21200', psnr is '23.562541338689837'
At step '21400', psnr is '23.56506116760609'
At step '21600', psnr is '23.592970348390338'
At step '21800', psnr is '23.53245115546418'
At step '22000', psnr is '23.541563948736467'
At step '22200', psnr is '23.63763748513346'
At step '22400', psnr is '23.380117035522318'
At step '22600', psnr is '23.44338551456355'
At step '22800', psnr is '23.477616210649014'
At step '23000', psnr is '23.516632668307977'
At step '23200', psnr is '23.525839311072065'
At step '23400', psnr is '23.496266559621798'
At step '23600', psnr is '23.612359594563777'
At step '23800', psnr is '23.511577866263305'
At step '24000', psnr is '23.47580287776897'
At step '24200', psnr is '23.56448792359687'
At step '24400', psnr is '23.5943364514089'
At step '24600', psnr is '23.604818157273968'
At step '24800', psnr is '23.532563927033443'
At step '25000', psnr is '23.618787910941013'
At step '25200', psnr is '23.501327605836767'
At step '25400', psnr is '23.507195681604976'
At step '25600', psnr is '23.5734819848909'
At step '25800', psnr is '23.538668888552387'
At step '26000', psnr is '23.411158896921002'
At step '26200', psnr is '23.46197831635683'
At step '26400', psnr is '23.566831663498583'
At step '26600', psnr is '23.52319059552412'
At step '26800', psnr is '23.355901148747268'
At step '27000', psnr is '23.42921813883617'
At step '27200', psnr is '23.461569710510698'
At step '27400', psnr is '23.535072181313446'
At step '27600', psnr is '23.53444789531402'
At step '27800', psnr is '23.420272038789115'
At step '28000', psnr is '23.478114326676792'
At step '28200', psnr is '23.560487447672465'
At step '28400', psnr is '23.499438975238153'
At step '28600', psnr is '23.602426921842294'
At step '28800', psnr is '23.447321763448585'
At step '29000', psnr is '23.495967342700386'
At step '29200', psnr is '23.473267789848368'
At step '29400', psnr is '23.404905825807294'
At step '29600', psnr is '23.556939782687046'
At step '29800', psnr is '23.41705289470064'
At step '30000', psnr is '23.439255469823532'
At step '30200', psnr is '23.511277777736854'
At step '30400', psnr is '23.56143910367587'
At step '30600', psnr is '23.463420510902637'
At step '30800', psnr is '23.499712096206867'
At step '31000', psnr is '23.279096027251057'
At step '31200', psnr is '23.548191615538833'
At step '31400', psnr is '23.485538861659656'
At step '31600', psnr is '23.472757919817532'
At step '31800', psnr is '23.462915473341962'
At step '32000', psnr is '23.481631849524582'
At step '32200', psnr is '23.50848075724177'
At step '32400', psnr is '23.43507158084901'
At step '32600', psnr is '23.356779133173553'
At step '32800', psnr is '23.514738386275337'
At step '33000', psnr is '23.43008566034308'
At step '33200', psnr is '23.562305982467254'
At step '33400', psnr is '23.435987862537168'
At step '33600', psnr is '23.484618181518357'
At step '33800', psnr is '23.540883805547075'
At step '34000', psnr is '23.48448444692591'
At step '34200', psnr is '23.4811607010705'
At step '34400', psnr is '23.41816944770639'
At step '34600', psnr is '23.385679042453624'
At step '34800', psnr is '23.382613255149604'
At step '35000', psnr is '23.40573793246373'
At step '35200', psnr is '23.556444612247397'
At step '35400', psnr is '23.499072578638113'
At step '35600', psnr is '23.498102546127985'
At step '35800', psnr is '23.491423927569585'
At step '36000', psnr is '23.351944508016196'
At step '36200', psnr is '23.24181077628959'
At step '36400', psnr is '23.577462001719873'
At step '36600', psnr is '23.496813661799752'
At step '36800', psnr is '23.45953120842013'
At step '37000', psnr is '23.403378429850605'
At step '37200', psnr is '23.418069829157293'
At step '37400', psnr is '23.193489050532353'
At step '37600', psnr is '23.465105901674104'
At step '37800', psnr is '23.436066658232345'
At step '38000', psnr is '23.4362846483439'
At step '38200', psnr is '23.3717300311499'
At step '38400', psnr is '23.458271413489797'
At step '38600', psnr is '23.314540826995373'
At step '38800', psnr is '23.447947259310343'
At step '39000', psnr is '23.380316890903096'
At step '39200', psnr is '23.31803179373075'
At step '39400', psnr is '23.387210713606876'
At step '39600', psnr is '23.370873633041775'
At step '39800', psnr is '23.33666367323176'
Experiment done
