(3, 512, 512)
Starting vanilla DIP on 0 using ADAM(sigma=0.05,lr=0.01,decay=0,beta=0)
Noisy PSNR is '25.539766184473898'
[128, 128, 128, 128]
Number of params in decoder: 83584
torch.Size([1, 128, 32, 32])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '26.800370900727412'
At step '400', psnr is '27.085037973393852'
At step '600', psnr is '27.658575941271508'
At step '800', psnr is '27.800946581629546'
At step '1000', psnr is '27.899967622637458'
At step '1200', psnr is '27.779429377880028'
At step '1400', psnr is '27.90304241121587'
At step '1600', psnr is '28.04262671337428'
At step '1800', psnr is '27.781947911824165'
At step '2000', psnr is '28.07574118646652'
At step '2200', psnr is '28.19501461797889'
At step '2400', psnr is '28.357343080935394'
At step '2600', psnr is '28.328081616923274'
At step '2800', psnr is '27.84476989056294'
At step '3000', psnr is '28.321691171547766'
At step '3200', psnr is '27.85866660861023'
At step '3400', psnr is '28.29760464154065'
At step '3600', psnr is '28.287970847127433'
At step '3800', psnr is '28.217768432523094'
At step '4000', psnr is '28.21612123518473'
At step '4200', psnr is '28.251651108720583'
At step '4400', psnr is '27.87374348756544'
At step '4600', psnr is '28.44133705006105'
At step '4800', psnr is '28.223572957492486'
At step '5000', psnr is '28.369908812058004'
At step '5200', psnr is '28.387623837131084'
At step '5400', psnr is '28.256414250169435'
At step '5600', psnr is '28.480040524942105'
At step '5800', psnr is '28.413305479716907'
At step '6000', psnr is '28.390557856869876'
At step '6200', psnr is '28.32175321199742'
At step '6400', psnr is '28.353365671521118'
At step '6600', psnr is '28.398680365469588'
At step '6800', psnr is '28.427270532542074'
At step '7000', psnr is '28.55142235075403'
At step '7200', psnr is '28.45264488290464'
At step '7400', psnr is '28.266213015607633'
At step '7600', psnr is '28.569028153356584'
At step '7800', psnr is '28.59990509600019'
At step '8000', psnr is '28.5891322634029'
At step '8200', psnr is '28.446748446886232'
At step '8400', psnr is '28.412704388575257'
At step '8600', psnr is '28.382451317845046'
At step '8800', psnr is '28.52287263412927'
At step '9000', psnr is '28.309554667087802'
At step '9200', psnr is '28.529421543375314'
At step '9400', psnr is '28.63716770180929'
At step '9600', psnr is '28.559301349989042'
At step '9800', psnr is '28.537915640236'
At step '10000', psnr is '28.53700325594535'
At step '10200', psnr is '28.53722725925481'
At step '10400', psnr is '28.522657700517037'
At step '10600', psnr is '28.78971527788662'
At step '10800', psnr is '28.60314780699516'
At step '11000', psnr is '28.671631631764477'
At step '11200', psnr is '28.621948026072765'
At step '11400', psnr is '28.541652438650054'
At step '11600', psnr is '28.514191701478232'
At step '11800', psnr is '28.40548318073813'
At step '12000', psnr is '28.603622222008312'
At step '12200', psnr is '28.48575314368007'
At step '12400', psnr is '28.522626877576535'
At step '12600', psnr is '28.511096963409898'
At step '12800', psnr is '28.341370957512808'
At step '13000', psnr is '28.554079401319182'
