(3, 256, 256)
Starting vanilla DIP on 1 using ADAM(sigma=0.1,lr=0.01,decay=0,beta=0)
Noisy PSNR is '20.487579944683688'
[128, 128, 128, 128]
Number of params in decoder: 83584
torch.Size([1, 128, 16, 16])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '25.522084063950913'
At step '400', psnr is '26.20343508251286'
At step '600', psnr is '26.79035323488053'
At step '800', psnr is '27.092780115865963'
At step '1000', psnr is '26.821324278245186'
At step '1200', psnr is '26.888668964331018'
At step '1400', psnr is '26.484733239940162'
At step '1600', psnr is '26.747705213952926'
At step '1800', psnr is '26.169927699456288'
At step '2000', psnr is '26.446088715231188'
At step '2200', psnr is '26.575424835035278'
At step '2400', psnr is '26.212679421335608'
At step '2600', psnr is '26.499344705316798'
At step '2800', psnr is '26.620733352324223'
At step '3000', psnr is '25.385981760259398'
At step '3200', psnr is '25.96814827023229'
At step '3400', psnr is '26.26898864412501'
At step '3600', psnr is '26.081981061555414'
At step '3800', psnr is '25.311699097093992'
At step '4000', psnr is '25.60599473463377'
At step '4200', psnr is '25.443408575036493'
At step '4400', psnr is '26.04865170611289'
At step '4600', psnr is '25.25821556101528'
At step '4800', psnr is '25.920633842724584'
At step '5000', psnr is '25.388492103251718'
At step '5200', psnr is '25.662494293454458'
At step '5400', psnr is '25.321444955680086'
At step '5600', psnr is '25.649289254965602'
At step '5800', psnr is '25.285386160973545'
At step '6000', psnr is '25.835139325604338'
At step '6200', psnr is '25.43048253093612'
At step '6400', psnr is '25.20730438817017'
At step '6600', psnr is '25.4233692143336'
At step '6800', psnr is '25.114100949097008'
At step '7000', psnr is '25.362996915336'
At step '7200', psnr is '25.35124432654822'
At step '7400', psnr is '25.349969019078014'
At step '7600', psnr is '25.172983354474894'
At step '7800', psnr is '25.18297545240369'
At step '8000', psnr is '24.98347752406832'
At step '8200', psnr is '25.08561386299393'
At step '8400', psnr is '25.422303027193294'
At step '8600', psnr is '25.277405638329768'
At step '8800', psnr is '25.20301883038543'
At step '9000', psnr is '24.812210021789348'
At step '9200', psnr is '25.269027078255437'
At step '9400', psnr is '25.008215092769355'
At step '9600', psnr is '25.09709824419547'
At step '9800', psnr is '24.941248075708206'
At step '10000', psnr is '24.723035766225728'
At step '10200', psnr is '24.817637942066604'
At step '10400', psnr is '25.146618283967964'
At step '10600', psnr is '24.97421135580357'
At step '10800', psnr is '25.04873144952319'
At step '11000', psnr is '24.75882034499618'
At step '11200', psnr is '24.93860308808266'
At step '11400', psnr is '24.709359110287423'
At step '11600', psnr is '24.989957122077723'
At step '11800', psnr is '24.915425435570256'
At step '12000', psnr is '24.941580587073354'
At step '12200', psnr is '24.916421836278403'
At step '12400', psnr is '24.721949885056176'
At step '12600', psnr is '24.421563553582345'
At step '12800', psnr is '24.809114543730143'
At step '13000', psnr is '24.81448803967529'
At step '13200', psnr is '24.79005526960147'
At step '13400', psnr is '25.091829710790957'
At step '13600', psnr is '25.150835939028976'
At step '13800', psnr is '24.72454835318308'
At step '14000', psnr is '24.49936510463237'
At step '14200', psnr is '24.79612427315231'
At step '14400', psnr is '24.855104803836593'
At step '14600', psnr is '24.675821799928855'
At step '14800', psnr is '24.599500571709925'
At step '15000', psnr is '24.6612172600344'
