(3, 512, 512)
Starting vanilla DIP on 13 using ADAM(sigma=0.15,lr=0.01,decay=0,beta=0)
Noisy PSNR is '17.142442996436237'
[128, 128, 128, 128]
Number of params in decoder: 83584
torch.Size([1, 128, 32, 32])
Starting optimization with optimizer 'ADAM'
here
(3, 512, 512)
Starting vanilla DIP on 13 using ADAM(sigma=0.15,lr=0.01,decay=0,beta=0)
Noisy PSNR is '17.121529341633895'
[128, 128, 128, 128]
Number of params in decoder: 83584
torch.Size([1, 128, 32, 32])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '22.47098304686345'
At step '400', psnr is '23.751373452129222'
At step '600', psnr is '23.81190326109392'
At step '800', psnr is '24.105099518617887'
At step '1000', psnr is '25.13323009399191'
At step '1200', psnr is '24.80602860945494'
At step '1400', psnr is '24.472840107342485'
At step '1600', psnr is '23.978859948911328'
At step '1800', psnr is '24.644456132202453'
At step '2000', psnr is '24.486651820727573'
At step '2200', psnr is '24.313163515403026'
At step '2400', psnr is '24.608773443846765'
At step '2600', psnr is '24.122089700718764'
At step '2800', psnr is '24.48206640114117'
At step '3000', psnr is '24.2333433014127'
At step '3200', psnr is '24.36833079669041'
At step '3400', psnr is '24.072130415010484'
At step '3600', psnr is '24.40398178100517'
At step '3800', psnr is '24.14517211500177'
At step '4000', psnr is '24.098913901785025'
At step '4200', psnr is '24.326759837144238'
At step '4400', psnr is '24.23040470946581'
At step '4600', psnr is '23.951945085157988'
At step '4800', psnr is '24.384364173139833'
At step '5000', psnr is '24.11428783911354'
At step '5200', psnr is '24.197507356270144'
At step '5400', psnr is '24.403950560560112'
At step '5600', psnr is '24.12519142097836'
At step '5800', psnr is '24.11869704501705'
At step '6000', psnr is '24.032774559083666'
At step '6200', psnr is '24.120468248881085'
At step '6400', psnr is '23.972963495608592'
At step '6600', psnr is '24.28534215723068'
At step '6800', psnr is '24.17594008481297'
At step '7000', psnr is '24.15449675911226'
At step '7200', psnr is '23.86644934257683'
At step '7400', psnr is '24.162416870317863'
At step '7600', psnr is '24.132055009520805'
At step '7800', psnr is '24.059473017619165'
At step '8000', psnr is '24.245522338150202'
At step '8200', psnr is '24.14199311168605'
At step '8400', psnr is '24.220075949559998'
At step '8600', psnr is '24.1162594270627'
At step '8800', psnr is '23.894183229296573'
At step '9000', psnr is '24.18777279539023'
At step '9200', psnr is '24.209280712843267'
At step '9400', psnr is '24.24037902565653'
At step '9600', psnr is '24.1178245018874'
At step '9800', psnr is '23.90871647435049'
At step '10000', psnr is '24.168646398694303'
At step '10200', psnr is '24.01628787987246'
