(3, 512, 512)
Starting vanilla DIP on 0 using ADAM(sigma=0.1,lr=0.01,decay=0,beta=0)
Noisy PSNR is '19.687131425681038'
[128, 128, 128, 128, 128]
Number of params in decoder: 100224
torch.Size([1, 128, 16, 16])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '25.02996145965945'
At step '400', psnr is '26.068208216680574'
At step '600', psnr is '26.390237240671823'
At step '800', psnr is '26.584127846162566'
At step '1000', psnr is '26.5617810139571'
At step '1200', psnr is '26.296893982684328'
At step '1400', psnr is '26.542046763823603'
At step '1600', psnr is '26.708729070651593'
At step '1800', psnr is '26.53136684261788'
At step '2000', psnr is '26.575847140193915'
At step '2200', psnr is '26.484556122624745'
At step '2400', psnr is '26.4411465511266'
At step '2600', psnr is '26.637296472219646'
At step '2800', psnr is '26.48499328980079'
At step '3000', psnr is '26.621424327337763'
At step '3200', psnr is '26.228879217419816'
At step '3400', psnr is '26.036687873757568'
At step '3600', psnr is '26.479726244976185'
At step '3800', psnr is '26.624076061886495'
At step '4000', psnr is '26.54716400058195'
At step '4200', psnr is '26.645248403362633'
At step '4400', psnr is '26.466764491253024'
At step '4600', psnr is '26.532829935910875'
At step '4800', psnr is '26.40792634225583'
At step '5000', psnr is '26.66736480333642'
At step '5200', psnr is '26.768537738121392'
At step '5400', psnr is '26.664955082753316'
At step '5600', psnr is '26.58078357095695'
At step '5800', psnr is '26.610442262018257'
At step '6000', psnr is '26.42754378286719'
At step '6200', psnr is '26.472234297629434'
At step '6400', psnr is '26.6448707611935'
At step '6600', psnr is '26.52817371748283'
At step '6800', psnr is '26.55534248122377'
At step '7000', psnr is '26.710867340990866'
At step '7200', psnr is '26.716432105703273'
At step '7400', psnr is '26.523697293576927'
At step '7600', psnr is '26.595378604827154'
At step '7800', psnr is '26.42966449567559'
At step '8000', psnr is '26.581736417709166'
At step '8200', psnr is '26.114707992578737'
At step '8400', psnr is '26.495338168389132'
At step '8600', psnr is '26.53960979029612'
At step '8800', psnr is '26.35099797024708'
At step '9000', psnr is '26.34931530235198'
At step '9200', psnr is '26.413907105935515'
At step '9400', psnr is '26.48212619200794'
At step '9600', psnr is '26.380983357974706'
At step '9800', psnr is '26.4421680526871'
At step '10000', psnr is '26.519015663721895'
At step '10200', psnr is '26.386951051592856'
At step '10400', psnr is '26.53237712764207'
At step '10600', psnr is '26.45315870557271'
At step '10800', psnr is '26.419447488850235'
At step '11000', psnr is '26.414819159564132'
At step '11200', psnr is '26.48405439856481'
At step '11400', psnr is '26.501847574234084'
At step '11600', psnr is '26.312565765769882'
At step '11800', psnr is '26.208411268502143'
At step '12000', psnr is '26.315225830525595'
At step '12200', psnr is '26.29233853851484'
