(3, 512, 512)
Starting vanilla DIP on 0 using ADAM(sigma=0.05,lr=0.01,decay=0,beta=0)
Noisy PSNR is '25.52857299455458'
[128, 128, 128, 128, 128]
Number of params in decoder: 100224
torch.Size([1, 128, 16, 16])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '24.8075765295998'
At step '400', psnr is '26.629513952412985'
At step '600', psnr is '27.278939955794538'
At step '800', psnr is '27.296167971758727'
At step '1000', psnr is '27.29718937333203'
At step '1200', psnr is '27.398903796770465'
At step '1400', psnr is '27.346561361298956'
At step '1600', psnr is '27.1101648221467'
At step '1800', psnr is '27.675067443327094'
At step '2000', psnr is '27.820033334437646'
At step '2200', psnr is '27.639825657358486'
At step '2400', psnr is '27.64671560533211'
At step '2600', psnr is '27.69342535459922'
At step '2800', psnr is '27.702372614572717'
At step '3000', psnr is '27.70452493824447'
At step '3200', psnr is '27.597642348365383'
At step '3400', psnr is '27.932579607998804'
At step '3600', psnr is '27.91354674607137'
At step '3800', psnr is '27.769333751707297'
At step '4000', psnr is '28.00051609216193'
At step '4200', psnr is '28.028999572628933'
At step '4400', psnr is '27.984884488766795'
At step '4600', psnr is '28.01036543860028'
At step '4800', psnr is '27.83954101342909'
At step '5000', psnr is '27.760358048034533'
At step '5200', psnr is '27.85213653338723'
At step '5400', psnr is '28.121967233945423'
At step '5600', psnr is '28.031333820182805'
At step '5800', psnr is '27.901460881370316'
At step '6000', psnr is '28.224578531903685'
At step '6200', psnr is '27.877075815648567'
At step '6400', psnr is '27.92500204056738'
At step '6600', psnr is '28.088051658722506'
At step '6800', psnr is '28.21498451707943'
At step '7000', psnr is '28.325640062868665'
At step '7200', psnr is '28.107228390508364'
At step '7400', psnr is '27.85025980638032'
At step '7600', psnr is '28.134563516050793'
At step '7800', psnr is '28.179717502574448'
At step '8000', psnr is '28.184265187379182'
At step '8200', psnr is '28.175169960876257'
At step '8400', psnr is '28.308625573593424'
At step '8600', psnr is '27.92364689834117'
At step '8800', psnr is '28.230256656331743'
At step '9000', psnr is '28.065202006774474'
At step '9200', psnr is '27.985983523257882'
At step '9400', psnr is '28.23409011285484'
At step '9600', psnr is '28.275494832315214'
At step '9800', psnr is '28.04648762838868'
At step '10000', psnr is '28.151917077086992'
At step '10200', psnr is '28.26386053490708'
At step '10400', psnr is '28.445922945918916'
At step '10600', psnr is '28.03929203163918'
At step '10800', psnr is '28.108851832984023'
At step '11000', psnr is '28.23583615809602'
At step '11200', psnr is '28.206545864664033'
At step '11400', psnr is '28.213310446882357'
At step '11600', psnr is '28.396627678325622'
At step '11800', psnr is '28.14298735950664'
At step '12000', psnr is '28.257604186794033'
At step '12200', psnr is '28.380786833507724'
At step '12400', psnr is '27.849364730185986'
At step '12600', psnr is '28.342471315924428'
At step '12800', psnr is '28.455430820333415'
At step '13000', psnr is '28.537528177407793'
At step '13200', psnr is '28.355009257846252'
At step '13400', psnr is '28.07574907819123'
At step '13600', psnr is '28.3916586255026'
At step '13800', psnr is '28.455964842010566'
At step '14000', psnr is '28.360988630527277'
At step '14200', psnr is '28.315876032021222'
At step '14400', psnr is '28.296494239718854'
At step '14600', psnr is '28.465961352643046'
At step '14800', psnr is '28.52428746264305'
At step '15000', psnr is '28.389112410552777'
At step '15200', psnr is '28.332277908830573'
At step '15400', psnr is '28.431874631879403'
At step '15600', psnr is '28.414538382992415'
At step '15800', psnr is '28.044851506635165'
At step '16000', psnr is '28.49803296662786'
At step '16200', psnr is '28.338899963031274'
At step '16400', psnr is '28.391517983126946'
At step '16600', psnr is '28.482419835234637'
At step '16800', psnr is '28.630168761681148'
At step '17000', psnr is '28.41288998689413'
At step '17200', psnr is '28.656596757770828'
At step '17400', psnr is '28.660930741866544'
At step '17600', psnr is '28.60505214565022'
At step '17800', psnr is '28.023601064775292'
At step '18000', psnr is '28.73494076609945'
At step '18200', psnr is '28.751653754207'
At step '18400', psnr is '28.63003298808321'
At step '18600', psnr is '28.53206766819514'
At step '18800', psnr is '28.52070878823215'
At step '19000', psnr is '28.515190783199476'
At step '19200', psnr is '28.704130104726136'
At step '19400', psnr is '28.334648607187308'
At step '19600', psnr is '28.692865054051452'
At step '19800', psnr is '28.33775101216638'
At step '20000', psnr is '28.62998815811038'
At step '20200', psnr is '28.39773969990595'
At step '20400', psnr is '28.520050603265688'
At step '20600', psnr is '28.32989137074476'
At step '20800', psnr is '28.767520312199444'
At step '21000', psnr is '28.810822311697063'
At step '21200', psnr is '28.72472522093552'
At step '21400', psnr is '28.57619145959516'
At step '21600', psnr is '28.64100590217115'
At step '21800', psnr is '28.46440469995931'
At step '22000', psnr is '28.755514542470188'
At step '22200', psnr is '28.602569498143016'
At step '22400', psnr is '28.622454333942336'
At step '22600', psnr is '28.586887390165373'
At step '22800', psnr is '28.744794161096223'
At step '23000', psnr is '28.560425568088796'
At step '23200', psnr is '28.495420323230118'
At step '23400', psnr is '28.594219550909372'
At step '23600', psnr is '28.63206192194937'
At step '23800', psnr is '28.87340474809204'
At step '24000', psnr is '28.82999061916434'
At step '24200', psnr is '28.554003463024976'
At step '24400', psnr is '28.911197476110434'
At step '24600', psnr is '28.583368290166465'
At step '24800', psnr is '28.72260543724223'
At step '25000', psnr is '28.836151611559394'
At step '25200', psnr is '28.900414377068348'
At step '25400', psnr is '28.93716614701657'
