(3, 512, 512)
(3, 512, 512)
Starting vanilla DIP on 9 using ADAM(p=0.8,lr=0.001,decay=0,beta=0)
Noisy PSNR is '7.070488386326023'
[128, 128, 128, 128, 128]
Number of params in decoder: 100224
torch.Size([1, 128, 16, 16])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '22.067594186909822'
At step '400', psnr is '22.530960855091777'
At step '600', psnr is '22.11144234522208'
At step '800', psnr is '22.78358259127199'
At step '1000', psnr is '22.870829152365424'
At step '1200', psnr is '22.838994381191128'
At step '1400', psnr is '22.59889001802073'
At step '1600', psnr is '22.642035968669127'
At step '1800', psnr is '22.542402291292177'
At step '2000', psnr is '22.882805764312817'
At step '2200', psnr is '22.566694505827716'
At step '2400', psnr is '22.8286666546823'
At step '2600', psnr is '22.882520624811455'
At step '2800', psnr is '22.773871310639464'
At step '3000', psnr is '22.795041996933804'
At step '3200', psnr is '22.656995700922714'
At step '3400', psnr is '22.760862932110435'
At step '3600', psnr is '22.83369754267598'
At step '3800', psnr is '22.690053562381074'
At step '4000', psnr is '22.635269850663036'
At step '4200', psnr is '22.691097427138995'
At step '4400', psnr is '22.651013814735137'
At step '4600', psnr is '22.677007649270422'
At step '4800', psnr is '22.820858632508155'
At step '5000', psnr is '22.712331959382475'
At step '5200', psnr is '22.621322764813335'
At step '5400', psnr is '22.617643166884594'
At step '5600', psnr is '22.84849208252773'
At step '5800', psnr is '22.69341601991258'
At step '6000', psnr is '22.863472093956673'
At step '6200', psnr is '22.875878561054805'
At step '6400', psnr is '22.612914247856253'
At step '6600', psnr is '22.735754828469688'
At step '6800', psnr is '22.723871973823716'
At step '7000', psnr is '22.67909236365722'
At step '7200', psnr is '22.43534801886282'
At step '7400', psnr is '22.715023160196854'
At step '7600', psnr is '22.718158448973135'
At step '7800', psnr is '22.725985751710457'
At step '8000', psnr is '22.408132808696493'
At step '8200', psnr is '22.838571749269796'
At step '8400', psnr is '22.777611369042077'
At step '8600', psnr is '22.59448540754736'
At step '8800', psnr is '22.816763940640115'
At step '9000', psnr is '22.84590618327494'
At step '9200', psnr is '22.49978027395656'
At step '9400', psnr is '22.803536398701453'
At step '9600', psnr is '22.59652021044709'
At step '9800', psnr is '22.54782797941834'
At step '10000', psnr is '22.4701511286312'
At step '10200', psnr is '22.866493401791203'
At step '10400', psnr is '22.781723017105747'
At step '10600', psnr is '22.930259751562836'
At step '10800', psnr is '22.608077651597064'
At step '11000', psnr is '22.614957705614806'
At step '11200', psnr is '22.583622067461057'
