noisy psnr: 8.596538216331792
Starting vanilla DIP on 11 using ADAM(sigma=0.1,lr=0.001,decay=0,beta=0)
Noisy PSNR is '8.596538216331792'
input dim: torch.Size([1, 32, 512, 512])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '22.474164104810484'
At step '400', psnr is '25.655070087603683'
At step '600', psnr is '25.841771414859053'
At step '800', psnr is '25.11610932371887'
At step '1000', psnr is '24.091889233190628'
At step '1200', psnr is '23.124944932988996'
At step '1400', psnr is '22.49649836769037'
At step '1600', psnr is '21.898144724240144'
At step '1800', psnr is '21.276237985545563'
At step '2000', psnr is '20.84227306538604'
At step '2200', psnr is '20.713430167532472'
At step '2400', psnr is '20.348889836239938'
At step '2600', psnr is '20.031247061913508'
At step '2800', psnr is '20.073329465863594'
At step '3000', psnr is '19.79081735339203'
At step '3200', psnr is '19.68807100466317'
At step '3400', psnr is '19.59431177638721'
At step '3600', psnr is '19.396241714453833'
At step '3800', psnr is '19.263677929751037'
At step '4000', psnr is '19.17455876423378'
At step '4200', psnr is '19.11556017466171'
At step '4400', psnr is '19.056960350029744'
At step '4600', psnr is '19.027213648945377'
At step '4800', psnr is '18.966248814798718'
At step '5000', psnr is '18.897912340087373'
At step '5200', psnr is '18.745723716252304'
At step '5400', psnr is '18.69426779267903'
At step '5600', psnr is '18.718221011170492'
At step '5800', psnr is '18.6754975733658'
At step '6000', psnr is '18.484085005637347'
At step '6200', psnr is '18.49045573179802'
At step '6400', psnr is '18.60834540964273'
At step '6600', psnr is '18.494166775405322'
At step '6800', psnr is '18.486045918871284'
At step '7000', psnr is '18.49643545044421'
At step '7200', psnr is '18.34673100447357'
At step '7400', psnr is '18.384536310559465'
At step '7600', psnr is '18.33247146694611'
At step '7800', psnr is '18.35763119066182'
At step '8000', psnr is '18.26092020858252'
At step '8200', psnr is '18.21980746477418'
At step '8400', psnr is '18.31131054654316'
At step '8600', psnr is '18.236644190886917'
At step '8800', psnr is '18.18550732599584'
At step '9000', psnr is '18.10245249362574'
At step '9200', psnr is '18.19808875508613'
At step '9400', psnr is '18.148977127240016'
At step '9600', psnr is '18.065948602592414'
At step '9800', psnr is '18.13608714360407'
At step '10000', psnr is '18.0031763893019'
At step '10200', psnr is '18.037065661865324'
At step '10400', psnr is '18.096718912939703'
At step '10600', psnr is '18.040669775346167'
At step '10800', psnr is '17.97397854491418'
At step '11000', psnr is '17.99776327397385'
At step '11200', psnr is '17.956881842358598'
At step '11400', psnr is '18.05123049031312'
At step '11600', psnr is '18.01355269419909'
At step '11800', psnr is '17.944386283015586'
At step '12000', psnr is '17.948085484804366'
At step '12200', psnr is '17.909841647609497'
At step '12400', psnr is '17.88923184476402'
At step '12600', psnr is '17.87772359765294'
At step '12800', psnr is '17.926037177121998'
At step '13000', psnr is '17.883848888294658'
At step '13200', psnr is '17.861560897159087'
At step '13400', psnr is '17.829838455813515'
At step '13600', psnr is '17.870101209061893'
At step '13800', psnr is '17.806132195411102'
At step '14000', psnr is '17.830518403087005'
At step '14200', psnr is '17.699117689457214'
At step '14400', psnr is '17.83661333215114'
At step '14600', psnr is '17.75101624218407'
At step '14800', psnr is '17.79148443537263'
At step '15000', psnr is '17.734897048694428'
At step '15200', psnr is '17.823347262676965'
At step '15400', psnr is '17.72593415053169'
At step '15600', psnr is '17.75780662320495'
At step '15800', psnr is '17.80630001232456'
At step '16000', psnr is '17.69388473414123'
At step '16200', psnr is '17.714282235328504'
At step '16400', psnr is '17.646416694421173'
At step '16600', psnr is '17.665210231390354'
At step '16800', psnr is '17.679078784317067'
At step '17000', psnr is '17.63667142408467'
At step '17200', psnr is '17.66684195768296'
At step '17400', psnr is '17.74431978321218'
At step '17600', psnr is '17.645608929290102'
At step '17800', psnr is '17.74154882894135'
At step '18000', psnr is '17.693495068967408'
At step '18200', psnr is '17.699697164146805'
At step '18400', psnr is '17.684484078751368'
At step '18600', psnr is '17.60648167376838'
At step '18800', psnr is '17.56386131842978'
At step '19000', psnr is '17.526111241994432'
At step '19200', psnr is '17.634023286018643'
At step '19400', psnr is '17.57955857753831'
At step '19600', psnr is '17.496730864386244'
At step '19800', psnr is '17.556557831548258'
At step '20000', psnr is '17.48355190461784'
At step '20200', psnr is '17.61706115259354'
At step '20400', psnr is '17.616123010221973'
At step '20600', psnr is '17.547153922675896'
At step '20800', psnr is '17.48889101244946'
At step '21000', psnr is '17.560372820384885'
At step '21200', psnr is '17.49890807745409'
At step '21400', psnr is '17.60981023851578'
