(3, 512, 512)
Starting vanilla DIP on 5 using ADAM(sigma=0.1,lr=0.01,decay=0,beta=0)
Noisy PSNR is '20.088827629659768'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '19.875803503354163'
At step '400', psnr is '21.06059415883835'
At step '600', psnr is '21.615734572903442'
At step '800', psnr is '22.065607085607727'
At step '1000', psnr is '22.388953669940243'
At step '1200', psnr is '22.532783154865243'
At step '1400', psnr is '22.746044952006255'
At step '1600', psnr is '22.96894739089129'
At step '1800', psnr is '23.115308319869587'
At step '2000', psnr is '23.26317617239717'
At step '2200', psnr is '23.396644984362737'
At step '2400', psnr is '23.560567863159726'
At step '2600', psnr is '23.613087849548794'
At step '2800', psnr is '23.749073830983324'
At step '3000', psnr is '23.859348392324012'
At step '3200', psnr is '23.922792318050092'
At step '3400', psnr is '24.075973030060553'
At step '3600', psnr is '24.14714764711296'
At step '3800', psnr is '24.19487694579654'
At step '4000', psnr is '24.28081748787453'
At step '4200', psnr is '24.352325416270254'
At step '4400', psnr is '24.515141594311956'
At step '4600', psnr is '24.92528805493336'
At step '4800', psnr is '25.111095672257658'
At step '5000', psnr is '25.287014320911855'
At step '5200', psnr is '25.36405625590522'
At step '5400', psnr is '25.45824719646501'
At step '5600', psnr is '25.542292884019147'
At step '5800', psnr is '25.697795442457796'
At step '6000', psnr is '25.854188290161186'
At step '6200', psnr is '26.03144413939517'
At step '6400', psnr is '26.165924767257373'
At step '6600', psnr is '26.300771436118534'
At step '6800', psnr is '26.302770834894964'
At step '7000', psnr is '26.529072233681514'
At step '7200', psnr is '26.59473445656314'
At step '7400', psnr is '26.59546529807197'
At step '7600', psnr is '26.721007277413875'
At step '7800', psnr is '26.812587510376694'
At step '8000', psnr is '26.89092730231347'
At step '8200', psnr is '26.924717042913766'
At step '8400', psnr is '26.98405794570312'
At step '8600', psnr is '26.978382679290537'
At step '8800', psnr is '26.90962365793522'
At step '9000', psnr is '26.943478817208245'
At step '9200', psnr is '26.986264641644766'
At step '9400', psnr is '26.905155506452335'
At step '9600', psnr is '26.90671802398501'
At step '9800', psnr is '26.877216698578266'
At step '10000', psnr is '26.85102966619718'
At step '10200', psnr is '26.844783886641167'
At step '10400', psnr is '26.873551841341747'
At step '10600', psnr is '26.87071607002526'
At step '10800', psnr is '26.778516985930416'
At step '11000', psnr is '26.763900289997558'
At step '11200', psnr is '26.659026460544535'
At step '11400', psnr is '26.563616938086287'
At step '11600', psnr is '26.573405222020448'
At step '11800', psnr is '26.52723909634161'
At step '12000', psnr is '26.512646778765962'
At step '12200', psnr is '26.443006830048972'
At step '12400', psnr is '26.39989237153297'
At step '12600', psnr is '26.348331313159367'
At step '12800', psnr is '26.397274998526235'
At step '13000', psnr is '26.30207790033313'
At step '13200', psnr is '26.267040964471487'
At step '13400', psnr is '26.238018135640377'
At step '13600', psnr is '26.049278709980218'
At step '13800', psnr is '26.11675597198314'
At step '14000', psnr is '26.04783022504611'
At step '14200', psnr is '25.93051964285927'
At step '14400', psnr is '26.004964830601715'
At step '14600', psnr is '25.914567427995966'
At step '14800', psnr is '25.886297646725964'
At step '15000', psnr is '25.797050577376474'
At step '15200', psnr is '25.82457882030974'
At step '15400', psnr is '25.77651497539207'
At step '15600', psnr is '25.756075629449438'
At step '15800', psnr is '25.534276312962763'
At step '16000', psnr is '25.57480845632208'
At step '16200', psnr is '25.537697204409362'
At step '16400', psnr is '25.504820604981244'
At step '16600', psnr is '25.55351496701958'
At step '16800', psnr is '25.461796961580525'
At step '17000', psnr is '25.395415677789934'
At step '17200', psnr is '25.399602895060703'
At step '17400', psnr is '25.367967074447844'
At step '17600', psnr is '25.30240811639844'
At step '17800', psnr is '25.282249672072027'
At step '18000', psnr is '25.282331782943928'
At step '18200', psnr is '25.348013885351865'
At step '18400', psnr is '25.156719618570506'
At step '18600', psnr is '25.265116910148468'
At step '18800', psnr is '25.15751739911563'
At step '19000', psnr is '25.100194547702863'
At step '19200', psnr is '25.126801280181525'
At step '19400', psnr is '25.068833144989622'
At step '19600', psnr is '25.076413856696085'
At step '19800', psnr is '24.96735048928968'
At step '20000', psnr is '24.994117769191327'
At step '20200', psnr is '24.86612390667295'
At step '20400', psnr is '24.920091286145116'
At step '20600', psnr is '24.869952177690013'
At step '20800', psnr is '24.797251191078864'
At step '21000', psnr is '24.930716609661175'
At step '21200', psnr is '24.858531033596044'
At step '21400', psnr is '24.825745893715222'
At step '21600', psnr is '24.750538108994213'
At step '21800', psnr is '24.727840063637814'
At step '22000', psnr is '24.79472142639218'
At step '22200', psnr is '24.748000488316073'
At step '22400', psnr is '24.712611146260954'
At step '22600', psnr is '24.620612900862792'
At step '22800', psnr is '24.67711572681278'
At step '23000', psnr is '24.513081720002432'
At step '23200', psnr is '24.588736447527083'
At step '23400', psnr is '24.595606405359433'
At step '23600', psnr is '24.544685484590435'
At step '23800', psnr is '24.536904219486434'
At step '24000', psnr is '24.47111340591531'
At step '24200', psnr is '24.53787405494946'
At step '24400', psnr is '24.49258197928602'
At step '24600', psnr is '24.54592866751705'
At step '24800', psnr is '24.47670933354054'
At step '25000', psnr is '24.32929461690756'
At step '25200', psnr is '24.462085563040674'
At step '25400', psnr is '24.465578238191817'
At step '25600', psnr is '24.386182555291125'
At step '25800', psnr is '24.34526845556661'
At step '26000', psnr is '24.332563023617265'
At step '26200', psnr is '24.280771153891855'
At step '26400', psnr is '24.311511282919696'
At step '26600', psnr is '24.376162444102107'
At step '26800', psnr is '24.288755382236495'
At step '27000', psnr is '24.271352321002567'
At step '27200', psnr is '24.279930846659536'
At step '27400', psnr is '24.2291147739766'
At step '27600', psnr is '24.26373299629396'
At step '27800', psnr is '24.097209137326367'
At step '28000', psnr is '24.213031521643167'
At step '28200', psnr is '24.111464299308576'
At step '28400', psnr is '24.157568799007272'
At step '28600', psnr is '24.135311726266462'
At step '28800', psnr is '24.148600442521662'
At step '29000', psnr is '24.108684187806666'
At step '29200', psnr is '24.097735248148084'
At step '29400', psnr is '24.05910177805563'
At step '29600', psnr is '24.073387731087514'
At step '29800', psnr is '24.070427019277496'
At step '30000', psnr is '24.017143816099804'
At step '30200', psnr is '24.02141867029263'
At step '30400', psnr is '23.9520878876165'
At step '30600', psnr is '23.94031474143563'
At step '30800', psnr is '23.963857958379798'
At step '31000', psnr is '23.95569155575947'
At step '31200', psnr is '23.96844469726437'
At step '31400', psnr is '23.959757892148996'
At step '31600', psnr is '23.93112946297988'
At step '31800', psnr is '23.834492441998407'
At step '32000', psnr is '23.96670119676209'
At step '32200', psnr is '23.947216214663403'
At step '32400', psnr is '23.907606706407076'
At step '32600', psnr is '23.837161525348733'
At step '32800', psnr is '23.858834770990484'
At step '33000', psnr is '23.85949795819046'
At step '33200', psnr is '23.857582695882726'
At step '33400', psnr is '23.906877583141505'
At step '33600', psnr is '23.86386836072974'
At step '33800', psnr is '23.8136131931859'
At step '34000', psnr is '23.83965679084019'
At step '34200', psnr is '23.883879957310267'
At step '34400', psnr is '23.738635440391427'
At step '34600', psnr is '23.748144553836813'
At step '34800', psnr is '23.744501526134975'
At step '35000', psnr is '23.73392733024737'
At step '35200', psnr is '23.706726028506502'
At step '35400', psnr is '23.771520731554258'
At step '35600', psnr is '23.723038166618142'
At step '35800', psnr is '23.684521206957147'
At step '36000', psnr is '23.66815187822794'
At step '36200', psnr is '23.672985043052336'
At step '36400', psnr is '23.67406002498035'
At step '36600', psnr is '23.686070809290204'
At step '36800', psnr is '23.676196303856102'
At step '37000', psnr is '23.633542904705777'
At step '37200', psnr is '23.663941228018427'
At step '37400', psnr is '23.62313688536197'
At step '37600', psnr is '23.53998869741353'
At step '37800', psnr is '23.618329311382954'
At step '38000', psnr is '23.58166116315363'
At step '38200', psnr is '23.59433588850536'
At step '38400', psnr is '23.53483574044995'
At step '38600', psnr is '23.613276278276917'
At step '38800', psnr is '23.57243953328996'
At step '39000', psnr is '23.587635796410552'
At step '39200', psnr is '23.520997939298375'
At step '39400', psnr is '23.577294232902908'
At step '39600', psnr is '23.4933455964157'
At step '39800', psnr is '23.492172817217206'
Experiment done
