(3, 256, 256)
(3, 256, 256)
Starting vanilla DIP on 2 using ADAM(p=0.5,lr=0.001,decay=0,beta=0)
Noisy PSNR is '8.880805192147186'
Starting optimization with optimizer 'ADAM'
At step '200', psnr is '23.807466604719703'
At step '400', psnr is '26.682201790268657'
At step '600', psnr is '28.224647954777346'
At step '800', psnr is '28.63379727125329'
At step '1000', psnr is '29.0189312707816'
At step '1200', psnr is '28.934562261953715'
At step '1400', psnr is '29.027842454503876'
At step '1600', psnr is '29.02398865741333'
At step '1800', psnr is '28.916451764268917'
At step '2000', psnr is '28.93213596514407'
At step '2200', psnr is '28.715469067713393'
At step '2400', psnr is '28.813439631542174'
At step '2600', psnr is '28.668845042939633'
At step '2800', psnr is '28.76472701236966'
At step '3000', psnr is '28.552069329388303'
At step '3200', psnr is '28.69910655245945'
At step '3400', psnr is '28.55890010282203'
At step '3600', psnr is '28.62809507259799'
At step '3800', psnr is '28.788406227689656'
At step '4000', psnr is '28.802477960427133'
At step '4200', psnr is '28.833225096370843'
At step '4400', psnr is '28.655348902157314'
At step '4600', psnr is '28.72023352313485'
At step '4800', psnr is '28.771365144310654'
At step '5000', psnr is '28.692951294102137'
At step '5200', psnr is '29.1394218343591'
At step '5400', psnr is '28.786975136513995'
At step '5600', psnr is '28.760469879831096'
At step '5800', psnr is '28.72425953361496'
At step '6000', psnr is '28.72327255769619'
At step '6200', psnr is '28.752362231611443'
At step '6400', psnr is '28.74060339608851'
At step '6600', psnr is '28.85609433841577'
At step '6800', psnr is '28.719361530611124'
At step '7000', psnr is '28.88816676864181'
At step '7200', psnr is '28.557472662937258'
At step '7400', psnr is '28.822033029172324'
At step '7600', psnr is '28.801500672958312'
At step '7800', psnr is '28.53196898300508'
At step '8000', psnr is '28.799913385293664'
At step '8200', psnr is '28.7593481152946'
At step '8400', psnr is '28.843955570407935'
At step '8600', psnr is '28.85560600690497'
At step '8800', psnr is '28.781031710545758'
At step '9000', psnr is '28.77297442763815'
At step '9200', psnr is '28.89209263136911'
At step '9400', psnr is '28.76824925832515'
At step '9600', psnr is '28.870452957607004'
At step '9800', psnr is '28.8451478472817'
At step '10000', psnr is '28.744367380074742'
At step '10200', psnr is '28.914502156055985'
At step '10400', psnr is '28.79902064706752'
At step '10600', psnr is '28.872696045409395'
At step '10800', psnr is '28.764809184588746'
At step '11000', psnr is '28.891724406463304'
At step '11200', psnr is '28.825112149243616'
At step '11400', psnr is '28.663984572899615'
At step '11600', psnr is '19.98673964651781'
At step '11800', psnr is '21.855336428224717'
At step '12000', psnr is '22.597308654114492'
At step '12200', psnr is '23.020673291282087'
At step '12400', psnr is '23.412474412813758'
At step '12600', psnr is '23.649714884910054'
At step '12800', psnr is '23.97688633228894'
At step '13000', psnr is '24.165707968636838'
At step '13200', psnr is '24.490174533610695'
At step '13400', psnr is '24.86938892355473'
At step '13600', psnr is '25.08563114772275'
At step '13800', psnr is '25.33727174859734'
At step '14000', psnr is '25.626042443090427'
At step '14200', psnr is '25.798767673789378'
At step '14400', psnr is '26.075354825378877'
At step '14600', psnr is '26.202143540416856'
At step '14800', psnr is '26.390378894898767'
At step '15000', psnr is '26.63665633631517'
At step '15200', psnr is '26.85348977469407'
At step '15400', psnr is '26.890970437410367'
At step '15600', psnr is '27.228377730237217'
At step '15800', psnr is '27.31095089883743'
At step '16000', psnr is '27.460500185928595'
At step '16200', psnr is '27.556357489109477'
At step '16400', psnr is '27.631224591655315'
At step '16600', psnr is '27.833368006496528'
At step '16800', psnr is '28.029254479643363'
At step '17000', psnr is '27.86062332745745'
At step '17200', psnr is '27.80599437044243'
At step '17400', psnr is '28.19644834385337'
At step '17600', psnr is '28.294702088743225'
At step '17800', psnr is '28.447667346116873'
At step '18000', psnr is '28.469016278477397'
At step '18200', psnr is '28.4390954475797'
At step '18400', psnr is '28.224453450978302'
At step '18600', psnr is '28.535725959364093'
At step '18800', psnr is '28.623170606274154'
At step '19000', psnr is '28.690718715466254'
At step '19200', psnr is '28.77958434230277'
At step '19400', psnr is '28.81862174698698'
At step '19600', psnr is '28.815891338740798'
At step '19800', psnr is '28.803225559204364'
At step '20000', psnr is '28.90328117222937'
At step '20200', psnr is '28.90975743536602'
