(3, 512, 512)
Starting vanilla DIP on 0 using ADAM(sigma=0.1,lr=0.001,decay=0,beta=0)
Noisy PSNR is '19.673488217441438'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '24.94996646036014'
At step '400', psnr is '27.70338276315556'
At step '600', psnr is '28.11504829750559'
At step '800', psnr is '27.520268709441144'
At step '1000', psnr is '27.325706984706322'
At step '1200', psnr is '26.24918348768827'
At step '1400', psnr is '26.183317065411572'
At step '1600', psnr is '25.424902057126076'
At step '1800', psnr is '25.22609341520571'
At step '2000', psnr is '24.558781907236472'
At step '2200', psnr is '24.17412072844663'
At step '2400', psnr is '24.031492448226825'
At step '2600', psnr is '23.88764922786013'
At step '2800', psnr is '23.39929556036184'
At step '3000', psnr is '23.394457231482416'
At step '3200', psnr is '23.3157105540479'
At step '3400', psnr is '23.03035492704111'
At step '3600', psnr is '23.096923623501247'
At step '3800', psnr is '22.59493870700895'
At step '4000', psnr is '23.010368243521086'
At step '4200', psnr is '22.803444700856733'
At step '4400', psnr is '22.708462766507125'
At step '4600', psnr is '22.504223438099103'
At step '4800', psnr is '22.26665121305203'
At step '5000', psnr is '22.512134861175483'
At step '5200', psnr is '22.537383497754114'
At step '5400', psnr is '22.493916474942264'
At step '5600', psnr is '22.414602508710082'
At step '5800', psnr is '22.3896449298922'
At step '6000', psnr is '22.46863417714436'
At step '6200', psnr is '22.202520106280403'
At step '6400', psnr is '22.238529687198568'
At step '6600', psnr is '22.340753922180376'
At step '6800', psnr is '22.386254681556142'
At step '7000', psnr is '22.037055840883415'
At step '7200', psnr is '22.094740008633842'
At step '7400', psnr is '22.155849848526813'
At step '7600', psnr is '21.938784688253328'
At step '7800', psnr is '21.947603578382278'
At step '8000', psnr is '21.858806390614923'
At step '8200', psnr is '21.857391789491892'
At step '8400', psnr is '22.10002183610378'
At step '8600', psnr is '22.075565261825293'
At step '8800', psnr is '21.817730129492713'
At step '9000', psnr is '21.89055996565509'
At step '9200', psnr is '21.76283564833534'
At step '9400', psnr is '21.910660717155945'
At step '9600', psnr is '21.749236749363735'
At step '9800', psnr is '21.84401019532851'
At step '10000', psnr is '21.89534515461638'
At step '10200', psnr is '21.86146589553998'
At step '10400', psnr is '21.88491271411515'
At step '10600', psnr is '21.70517394020056'
At step '10800', psnr is '21.81337158051891'
At step '11000', psnr is '21.901007447680556'
At step '11200', psnr is '21.953154592376883'
At step '11400', psnr is '21.849395877288288'
At step '11600', psnr is '21.549496016557427'
At step '11800', psnr is '21.811015959063447'
At step '12000', psnr is '21.60023556526266'
At step '12200', psnr is '21.626515735856636'
At step '12400', psnr is '21.816855650708575'
At step '12600', psnr is '21.577190214609754'
At step '12800', psnr is '21.878950179667044'
At step '13000', psnr is '21.870596839411004'
At step '13200', psnr is '21.65097123438106'
At step '13400', psnr is '21.748736289802135'
At step '13600', psnr is '21.738958613585055'
At step '13800', psnr is '21.63779373588861'
At step '14000', psnr is '21.696640302440315'
At step '14200', psnr is '21.579582653375176'
At step '14400', psnr is '21.599680584708956'
At step '14600', psnr is '21.612804203637058'
At step '14800', psnr is '21.56595078150534'
At step '15000', psnr is '21.66625686840073'
At step '15200', psnr is '21.635082788025834'
At step '15400', psnr is '21.739621492868395'
At step '15600', psnr is '21.548012791092592'
At step '15800', psnr is '21.589596361294298'
At step '16000', psnr is '21.570527631156196'
At step '16200', psnr is '21.72370786726318'
At step '16400', psnr is '21.585445910025353'
At step '16600', psnr is '21.598780245785587'
At step '16800', psnr is '21.68211444940397'
At step '17000', psnr is '21.592432759096543'
At step '17200', psnr is '21.528910644194674'
At step '17400', psnr is '21.54592375733237'
At step '17600', psnr is '21.51880223174947'
At step '17800', psnr is '21.586537128088672'
At step '18000', psnr is '21.538305915713405'
At step '18200', psnr is '21.50019658994017'
At step '18400', psnr is '21.528154334467494'
At step '18600', psnr is '21.541420493285173'
At step '18800', psnr is '21.41759850879477'
At step '19000', psnr is '21.522396121039215'
At step '19200', psnr is '21.46002478362756'
At step '19400', psnr is '21.512540635704575'
At step '19600', psnr is '21.46688281998463'
At step '19800', psnr is '21.399157827783142'
At step '20000', psnr is '21.43597998266174'
At step '20200', psnr is '21.444870820630676'
At step '20400', psnr is '21.661673489840524'
At step '20600', psnr is '21.57652440489372'
At step '20800', psnr is '21.283676470451212'
At step '21000', psnr is '21.477636823604588'
At step '21200', psnr is '21.364155273300497'
At step '21400', psnr is '21.43561405303847'
At step '21600', psnr is '21.365837682297144'
At step '21800', psnr is '21.411837162702394'
At step '22000', psnr is '21.38656566210068'
At step '22200', psnr is '21.641987024560052'
At step '22400', psnr is '21.5336179037483'
At step '22600', psnr is '21.53742688232883'
At step '22800', psnr is '21.42237661869877'
At step '23000', psnr is '21.46236270393759'
At step '23200', psnr is '21.428801599394657'
At step '23400', psnr is '21.352755608280734'
At step '23600', psnr is '21.34253568713178'
At step '23800', psnr is '21.42083615357034'
At step '24000', psnr is '21.38305052192774'
At step '24200', psnr is '21.289381700334342'
At step '24400', psnr is '21.39969002684207'
At step '24600', psnr is '21.439624994928728'
At step '24800', psnr is '21.437248755724884'
At step '25000', psnr is '21.42974677317408'
At step '25200', psnr is '21.368337493815943'
At step '25400', psnr is '21.504597698689828'
At step '25600', psnr is '21.3698777398791'
At step '25800', psnr is '21.54977566214551'
At step '26000', psnr is '21.410265445113687'
At step '26200', psnr is '21.42587725617115'
At step '26400', psnr is '21.59316318067816'
At step '26600', psnr is '21.247580416772426'
At step '26800', psnr is '21.348789887382296'
At step '27000', psnr is '21.396898243069064'
At step '27200', psnr is '21.526911303360077'
At step '27400', psnr is '21.431617554745486'
At step '27600', psnr is '21.314708367041803'
At step '27800', psnr is '21.29771671867166'
At step '28000', psnr is '21.47400646107895'
At step '28200', psnr is '21.400377102760153'
At step '28400', psnr is '21.354996814334758'
At step '28600', psnr is '21.289845160194425'
At step '28800', psnr is '21.396399645334604'
At step '29000', psnr is '21.38193104082935'
At step '29200', psnr is '21.19924488176052'
At step '29400', psnr is '21.454404243697134'
At step '29600', psnr is '21.514698947301476'
At step '29800', psnr is '21.33701282825001'
At step '30000', psnr is '21.347100020717903'
At step '30200', psnr is '21.1922652511062'
At step '30400', psnr is '21.480256818288158'
At step '30600', psnr is '21.316734085320373'
At step '30800', psnr is '21.424354398601576'
At step '31000', psnr is '21.491782022132192'
At step '31200', psnr is '21.310267519381156'
At step '31400', psnr is '21.485671961128784'
At step '31600', psnr is '21.300479560168185'
At step '31800', psnr is '21.3134143798435'
At step '32000', psnr is '21.408403836709642'
At step '32200', psnr is '21.326084404484213'
At step '32400', psnr is '21.37464890860681'
