(3, 512, 512)
Starting vanilla DIP on 7 using ADAM(sigma=0.05,lr=0.001,decay=0,beta=0)
Noisy PSNR is '26.06600857924542'
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '19.531823719192776'
At step '400', psnr is '21.44779663263579'
At step '600', psnr is '23.316645020754144'
At step '800', psnr is '24.39983729993846'
At step '1000', psnr is '24.90809088335758'
At step '1200', psnr is '25.48381229620692'
At step '1400', psnr is '25.73521125366808'
At step '1600', psnr is '26.12467821760898'
At step '1800', psnr is '26.26927821253051'
At step '2000', psnr is '26.351596009436747'
At step '2200', psnr is '26.366454961889826'
At step '2400', psnr is '26.605745073765274'
At step '2600', psnr is '26.694105911843113'
At step '2800', psnr is '26.717080165673316'
At step '3000', psnr is '26.931054148284282'
At step '3200', psnr is '26.996453585360555'
At step '3400', psnr is '27.07480917020846'
At step '3600', psnr is '26.961261754365047'
At step '3800', psnr is '27.116864105918687'
At step '4000', psnr is '26.95046078552364'
At step '4200', psnr is '27.189836055634984'
At step '4400', psnr is '27.118614229920826'
At step '4600', psnr is '27.162269437283054'
At step '4800', psnr is '27.199853173686762'
At step '5000', psnr is '27.06805510969715'
At step '5200', psnr is '27.140583863776616'
At step '5400', psnr is '27.172190158147952'
At step '5600', psnr is '27.223632327657647'
At step '5800', psnr is '27.08486707238785'
At step '6000', psnr is '27.0685914392894'
At step '6200', psnr is '27.22592980681954'
At step '6400', psnr is '27.143732007223655'
At step '6600', psnr is '27.12269088837932'
At step '6800', psnr is '27.30504790090198'
At step '7000', psnr is '27.26887090382753'
At step '7200', psnr is '27.225165472057586'
At step '7400', psnr is '27.32230120295871'
At step '7600', psnr is '27.175240964488697'
At step '7800', psnr is '27.211696880737392'
At step '8000', psnr is '27.228133275270345'
At step '8200', psnr is '27.32348936076468'
At step '8400', psnr is '27.31596163245183'
At step '8600', psnr is '27.276286107017395'
At step '8800', psnr is '27.350786533636477'
At step '9000', psnr is '27.085207278797352'
At step '9200', psnr is '27.251267346882795'
At step '9400', psnr is '27.085616559321927'
At step '9600', psnr is '27.296432967679646'
At step '9800', psnr is '26.995375002221525'
At step '10000', psnr is '27.269255413435292'
At step '10200', psnr is '27.11882560439658'
At step '10400', psnr is '27.182341102143898'
At step '10600', psnr is '27.298242374024262'
At step '10800', psnr is '27.137093678260044'
At step '11000', psnr is '27.308147363381767'
At step '11200', psnr is '27.360503434188917'
At step '11400', psnr is '27.26370359448188'
At step '11600', psnr is '27.23006670608786'
At step '11800', psnr is '27.23169987056994'
At step '12000', psnr is '27.1180455011241'
At step '12200', psnr is '27.225766299992834'
At step '12400', psnr is '27.311589474103812'
At step '12600', psnr is '27.369649282426494'
At step '12800', psnr is '27.291648731063166'
At step '13000', psnr is '27.321312936598176'
At step '13200', psnr is '27.324239301410316'
At step '13400', psnr is '27.311027536201003'
At step '13600', psnr is '27.331108500851652'
At step '13800', psnr is '27.105381631982123'
At step '14000', psnr is '27.220882914631662'
At step '14200', psnr is '27.27339076904657'
At step '14400', psnr is '27.180376204006556'
At step '14600', psnr is '27.301203443229916'
At step '14800', psnr is '27.27093845433602'
At step '15000', psnr is '27.14353937190857'
At step '15200', psnr is '27.321148847938183'
At step '15400', psnr is '27.198268852129356'
At step '15600', psnr is '27.342477378173157'
At step '15800', psnr is '27.260975721328876'
At step '16000', psnr is '27.229232986571695'
At step '16200', psnr is '27.261262756420827'
At step '16400', psnr is '27.213453202733604'
At step '16600', psnr is '27.2471341919926'
At step '16800', psnr is '27.35846549801095'
At step '17000', psnr is '27.300174728251335'
At step '17200', psnr is '27.30354040608246'
At step '17400', psnr is '27.289222406442093'
At step '17600', psnr is '27.209667871097125'
At step '17800', psnr is '27.190759881909727'
At step '18000', psnr is '27.232080831535228'
At step '18200', psnr is '27.285314955138425'
At step '18400', psnr is '27.311937126622475'
At step '18600', psnr is '27.25039382504031'
At step '18800', psnr is '27.3162423579925'
At step '19000', psnr is '27.313420424781146'
At step '19200', psnr is '27.34385328596485'
At step '19400', psnr is '27.259049796569897'
At step '19600', psnr is '27.060532820397146'
At step '19800', psnr is '27.205109638065473'
At step '20000', psnr is '27.28601846587368'
At step '20200', psnr is '27.206926741694023'
At step '20400', psnr is '26.993649414911445'
At step '20600', psnr is '27.304880559724833'
At step '20800', psnr is '27.30694239862173'
At step '21000', psnr is '27.25221633851855'
At step '21200', psnr is '27.304640328713567'
At step '21400', psnr is '27.24073353834858'
At step '21600', psnr is '27.292909490784595'
At step '21800', psnr is '27.13286865263172'
At step '22000', psnr is '27.320060808720644'
At step '22200', psnr is '27.261185938503736'
At step '22400', psnr is '27.310030773091917'
At step '22600', psnr is '27.31610226980358'
At step '22800', psnr is '27.239911914593115'
At step '23000', psnr is '27.237803882128297'
At step '23200', psnr is '27.154679687119035'
At step '23400', psnr is '27.236400816890807'
At step '23600', psnr is '27.31038631892696'
At step '23800', psnr is '27.14738331687038'
