(3, 512, 512)
Starting vanilla DIP on 3 using ADAM(sigma=0.1,lr=0.01,decay=0,beta=0)
Noisy PSNR is '20.302384525325227'
[128, 128, 128, 128]
Number of params in decoder: 83584
torch.Size([1, 128, 32, 32])
Starting optimization with optimizer 'ADAM'
here
At step '200', psnr is '31.71151206478097', noisy psnr is '20.21358293981443'
At step '400', psnr is '31.897448037255902', noisy psnr is '20.32062068903275'
At step '600', psnr is '30.65382478740261', noisy psnr is '20.31156860755666'
At step '800', psnr is '29.10303836866339', noisy psnr is '20.163477419579973'
At step '1000', psnr is '30.892600922613816', noisy psnr is '20.44696945285368'
At step '1200', psnr is '30.789605039565117', noisy psnr is '20.48230035472056'
At step '1400', psnr is '30.336141124501292', noisy psnr is '20.48951406449313'
At step '1600', psnr is '30.470482595435563', noisy psnr is '20.53544776226314'
At step '1800', psnr is '28.59578833338364', noisy psnr is '20.317768693397056'
At step '2000', psnr is '30.247198185691598', noisy psnr is '20.593877535703797'
At step '2200', psnr is '29.68560297038625', noisy psnr is '20.55781605918071'
At step '2400', psnr is '30.087978312950057', noisy psnr is '20.62709306300039'
At step '2600', psnr is '29.950005263211963', noisy psnr is '20.636798468488845'
At step '2800', psnr is '29.290465728632633', noisy psnr is '20.570411423981263'
At step '3000', psnr is '29.926601752026478', noisy psnr is '20.659853504410478'
At step '3200', psnr is '29.36141690231309', noisy psnr is '20.61728848548298'
At step '3400', psnr is '29.55970460843645', noisy psnr is '20.628990357960095'
At step '3600', psnr is '29.567460897596543', noisy psnr is '20.6685951139314'
At step '3800', psnr is '29.674022619042017', noisy psnr is '20.701224325983958'
At step '4000', psnr is '29.796692041610484', noisy psnr is '20.71850464212219'
At step '4200', psnr is '29.334151594324535', noisy psnr is '20.680368948260988'
At step '4400', psnr is '29.148256317593987', noisy psnr is '20.652661782020544'
At step '4600', psnr is '29.58813529458094', noisy psnr is '20.73660023016918'
At step '4800', psnr is '29.47062402524947', noisy psnr is '20.72075346492973'
At step '5000', psnr is '29.182129807634457', noisy psnr is '20.679216958821364'
At step '5200', psnr is '29.222290167859608', noisy psnr is '20.712162265271935'
At step '5400', psnr is '29.376603960229936', noisy psnr is '20.73090493019628'
At step '5600', psnr is '28.989702108179532', noisy psnr is '20.68640530050276'
At step '5800', psnr is '29.050048404519547', noisy psnr is '20.715956531644718'
At step '6000', psnr is '28.96615382099554', noisy psnr is '20.71932181177152'
At step '6200', psnr is '29.427850703673286', noisy psnr is '20.77698510491418'
At step '6400', psnr is '29.264004045799457', noisy psnr is '20.75823995043435'
At step '6600', psnr is '29.239205939794278', noisy psnr is '20.77300503957914'
At step '6800', psnr is '28.93099913280625', noisy psnr is '20.689892103060966'
At step '7000', psnr is '29.40851323533517', noisy psnr is '20.799055540288887'
At step '7200', psnr is '29.310248441608223', noisy psnr is '20.793510779968717'
At step '7400', psnr is '28.485205381593055', noisy psnr is '20.636252986548385'
At step '7600', psnr is '28.694399296796483', noisy psnr is '20.71916862830676'
At step '7800', psnr is '28.861283497197277', noisy psnr is '20.753506893016183'
At step '8000', psnr is '28.947318823611127', noisy psnr is '20.74284336524944'
At step '8200', psnr is '29.13266226151688', noisy psnr is '20.793539478931855'
At step '8400', psnr is '29.240383127029595', noisy psnr is '20.80920048855291'
At step '8600', psnr is '29.09803312543336', noisy psnr is '20.794951355232932'
At step '8800', psnr is '29.091109658694005', noisy psnr is '20.805491935365758'
At step '9000', psnr is '28.870469916537104', noisy psnr is '20.769741143853047'
At step '9200', psnr is '29.045326536517045', noisy psnr is '20.81058877469649'
At step '9400', psnr is '29.251777889167943', noisy psnr is '20.830606276821282'
At step '9600', psnr is '28.90397255597589', noisy psnr is '20.784891204635457'
At step '9800', psnr is '28.95651726471957', noisy psnr is '20.78790928680243'
At step '10000', psnr is '29.04775785931423', noisy psnr is '20.808995843467564'
At step '10200', psnr is '28.83591880017179', noisy psnr is '20.785224794844297'
At step '10400', psnr is '29.01417835836389', noisy psnr is '20.81330221040775'
At step '10600', psnr is '28.940531377202788', noisy psnr is '20.79853455431422'
At step '10800', psnr is '28.88871670835613', noisy psnr is '20.787490606443406'
At step '11000', psnr is '28.99988477087586', noisy psnr is '20.8260733770819'
At step '11200', psnr is '28.340683536401322', noisy psnr is '20.725561130091243'
At step '11400', psnr is '28.99503298436101', noisy psnr is '20.829324132783626'
At step '11600', psnr is '28.94268715703122', noisy psnr is '20.81809797953025'
At step '11800', psnr is '28.948502406473352', noisy psnr is '20.818054081769386'
At step '12000', psnr is '28.907376541914424', noisy psnr is '20.83310165020119'
At step '12200', psnr is '28.870299411344483', noisy psnr is '20.814029571140825'
At step '12400', psnr is '29.018311522455356', noisy psnr is '20.849831087465507'
At step '12600', psnr is '28.780915477321123', noisy psnr is '20.809861499152944'
At step '12800', psnr is '28.891957225034204', noisy psnr is '20.82688704417878'
At step '13000', psnr is '28.74821254086363', noisy psnr is '20.821156318151353'
At step '13200', psnr is '28.677906933192382', noisy psnr is '20.810550008522384'
At step '13400', psnr is '28.85959109995937', noisy psnr is '20.835504385943512'
At step '13600', psnr is '28.952574172700487', noisy psnr is '20.857889660590825'
At step '13800', psnr is '28.767482899309083', noisy psnr is '20.834563240679103'
At step '14000', psnr is '28.623815983123002', noisy psnr is '20.8084488311546'
At step '14200', psnr is '28.765450413375294', noisy psnr is '20.822367040812782'
At step '14400', psnr is '28.667569973550844', noisy psnr is '20.830058513394015'
At step '14600', psnr is '28.690850762548706', noisy psnr is '20.825666032149798'
At step '14800', psnr is '28.811001189671885', noisy psnr is '20.852983074513304'
At step '15000', psnr is '28.937179764179653', noisy psnr is '20.867681218797802'
At step '15200', psnr is '28.537044715380002', noisy psnr is '20.81854944999478'
At step '15400', psnr is '28.732216381672945', noisy psnr is '20.83941376229181'
At step '15600', psnr is '28.746791996114958', noisy psnr is '20.855615641555765'
At step '15800', psnr is '28.674793288551697', noisy psnr is '20.826684613189425'
At step '16000', psnr is '28.760806747507953', noisy psnr is '20.83694731530541'
At step '16200', psnr is '28.8483386197276', noisy psnr is '20.857005238011524'
At step '16400', psnr is '28.908860630051258', noisy psnr is '20.873701170026557'
At step '16600', psnr is '28.784050178396758', noisy psnr is '20.862714105335648'
At step '16800', psnr is '28.791766431883808', noisy psnr is '20.86673537427754'
